
"country \ indicator","BMI adults % moderate and severe thinness (<=17)","BMI adults % normal (18.5-24.99)","BMI adults % obese (>=30.0)","BMI adults % overweight (>=25.0)","BMI adults % pre-obese (25.0-29.99)","BMI adults % underweight (<18.5)","BMI females % moderate and severe thinness (<=17)","BMI females % normal (18.5-24.99)","BMI females % obese (>=30.0)","BMI females % overweight (>=25.0)","BMI females % pre-obese (25.0-29.99)","BMI females % underweight (<18.5)","BMI males % moderate and severe thinness (<=17)","BMI males % normal (18.5-24.99)","BMI males % obese (>=30.0)","BMI males % overweight (>=25.0)","BMI males % pre-obese (25.0-29.99)","BMI males % underweight (<18.5)","DES Cereals (calories/day)","DES Fruits, Vegetables, Pulses, Nuts (calories/day)","DES Meat, Fish, Milk, Eggs (calories/day)","DES Oils, Fats, Sugars (calories/day)","DES Other  (calories/day)","DES Roots, Tubers (calories/day)","DES Total (calories/day)","Population Females (1000)","Population Males (1000)","Population Total (1000)"
"Egypt 1961-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","","","","","","","","","","","","","","","","","","","1,291","244","237","633","49","53","2,512","3,268","3,147","6,415"
"Equatorial Guinea","","","","","","","","","","","","","","","","","","","","","","","","","","243","238","481"
"Eritrea","","","3.3","13.7","10.4","","16.7","53.8","4.4","8.9","7","37.3","","","2.3","","","","1,146","132","90","223","26","72","1,690","2,006","1,985","3,991"
"Estonia","","60.1","14.4","42.8","28.4","4.6","","62.8","14.9","40.6","26","7.3","","56.8","13.7","45.7","32.0","1.3","1,030","156","688","668","263","237","3,048","722","616","1,338"
"Ethiopia","","","","","","","8.8","69.1","0.7","4.4","4","26.5","","60.8","","2.5","","36.7","1,410","169","84","113","30","231","2,037","34,733","34,228","68,961"
"Ethiopia PDR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Falkland Islands (Malvinas)","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3"
"Faroe Islands","","","","","","","","","","","","","","","","","","","","","","","","","","24","23","47"
"Federal Republic of Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Malaya","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of Rhodesia and Nyasaland","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federation of West Indies","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fiji","","37.6","23.9","56.2","32.3","6.1","","29.0","32.7","64.8","32","5.6","","46.2","15.1","47.7","32.6","6.6","1,159","168","366","813","44","236","2,789","408","423","831"
"Finland","","52.7","15.7","48.8","33.1","2.4","","59.2","16.0","43.6","28","3.1","","44.9","15.4","55.8","40.4","1.6","909","161","1,010","769","210","138","3,202","2,660","2,538","5,197"
"France","","53.5","16.9","49.3","32.4","4.9","","","17.6","41.4","24","","","","16.1","57.2","41.0","","886","231","1,056","1,128","205","120","3,629","30,694","29,156","59,850"
"French Guiana","","","","","","","","","","","","","","","","","","","","","","","","","","84","89","174"
"French Polynesia","","","40.9","73.7","32.8","","","","44.3","72.5","28","","","","36.4","75.3","38.9","","897","143","714","793","161","130","2,888","116","124","241"
"Gabon","","","","","","","1.5","64.0","8.2","29.5","21","6.6","","","","","","","759","383","324","547","103","470","2,602","657","650","1,306"
"Gambia","","","2.3","10.4","8.1","","","","","","","","","","","","","","1,184","71","118","866","34","22","2,300","701","687","1,388"
"Georgia","","","","","","","","","","","","","","","","","","","1,301","125","351","327","39","102","2,247","2,705","2,472","5,177"
"German Democratic Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","","","12.9","66.5","41.1","","","","20.2","59.0","36","","","","17.1","75.5","50.2","","800","267","716","1,356","286","142","3,567","42,159","40,255","82,414"
"Ghana","","72.4","3.1","11.2","8.1","16.4","2.2","61.4","9.3","29.9","21","8.6","","78.5","0.6","5.3","4.7","16.2","752","308","111","308","34","1,151","2,670","10,288","10,184","20,471"
"Gibraltar","","","","","","","","","","","","","","","","","","","","","","","","","","14","13","27"
"Gilbert and Ellice islands","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","","","22.5","57.1","35.2","","","","13.5","48.1","30","","","","13.2","67.1","41.1","","1,074","445","792","1,109","172","133","3,754","5,563","5,407","10,970"
"Greenland","","","","","","","","","","","","","","","","","","","","","","","","","","29","28","56"
"Grenada","","","","","","","","","","","","","","","","","","","694","322","591","907","141","80","2,749","40","40","80"
"Guadeloupe","","","","","","","","","","","","","","","","","","","","","","","","","","225","211","436"
